[main] 2023-04-18 16:20:30 INFO  - #[ Filename: RGI-Feature testcase2 ( sheet :Sheet1 ) on line no: 2 ]
[main] 2023-04-18 16:20:38 INFO  - User have entered URL successfully : https://www.hackerearth.com
[main] 2023-04-18 16:20:38 INFO  - #[ Filename: RGI-Feature testcase2 ( sheet :Sheet1 ) on line no: 3 ]
[main] 2023-04-18 16:20:38 INFO  -  Click Retry Cout: 0
[main] 2023-04-18 16:20:38 INFO  - Inside the TRY of else block By.xpath: //a[@value='Login'] | //a[normalize-space()='Login']
[main] 2023-04-18 16:20:38 INFO  - Inside clickUsingJavaScript step:last
[main] 2023-04-18 16:20:38 INFO  - Successfully clicked on Login Button
[main] 2023-04-18 16:20:38 INFO  - #[ Filename: RGI-Feature testcase2 ( sheet :Sheet1 ) on line no: 4 ]
[main] 2023-04-18 16:20:40 INFO  - Successfully entered text
[main] 2023-04-18 16:20:40 INFO  - Entered project.daisy.input@gmail.com in Username or Email field
[main] 2023-04-18 16:20:40 INFO  - #[ Filename: RGI-Feature testcase2 ( sheet :Sheet1 ) on line no: 5 ]
[main] 2023-04-18 16:20:42 INFO  - Successfully entered text
[main] 2023-04-18 16:20:42 INFO  - Entered Password Successfully
[main] 2023-04-18 16:20:42 INFO  - #[ Filename: RGI-Feature testcase2 ( sheet :Sheet1 ) on line no: 6 ]
[main] 2023-04-18 16:20:42 INFO  -  Click Retry Cout: 0
[main] 2023-04-18 16:20:42 INFO  - Inside the TRY of else block By.xpath: //button[@value='Log in'] | //button[normalize-space()='Log in']
[main] 2023-04-18 16:20:43 INFO  - Inside clickUsingJavaScript step:last
[main] 2023-04-18 16:20:43 INFO  - Successfully clicked on Log in Button
[main] 2023-04-18 16:20:43 INFO  - Re-Triggering failed test cases is disabled
[main] 2023-04-18 16:20:43 INFO  - Closing Browser
[main] 2023-04-18 16:20:44 INFO  - End of execution
[main] 2023-04-18 16:20:44 INFO  - This is the end of test case execution
