[main] 2023-04-24 14:27:16 INFO  - #[ Filename: w3school ( sheet :Sheet1 ) on line no: 2 ]
[main] 2023-04-24 14:27:21 INFO  - User have entered URL successfully : https://profile.w3schools.com/log-in
[main] 2023-04-24 14:27:21 INFO  - #[ Filename: w3school ( sheet :Sheet1 ) on line no: 3 ]
[main] 2023-04-24 14:27:23 INFO  - Successfully entered text
[main] 2023-04-24 14:27:23 INFO  - Entered daisyinputpsl@gmail.com in Email field
[main] 2023-04-24 14:27:23 INFO  - #[ Filename: w3school ( sheet :Sheet1 ) on line no: 4 ]
[main] 2023-04-24 14:27:25 INFO  - Successfully entered text
[main] 2023-04-24 14:27:25 INFO  - Entered Password Successfully
[main] 2023-04-24 14:27:25 INFO  - #[ Filename: w3school ( sheet :Sheet1 ) on line no: 5 ]
[main] 2023-04-24 14:27:26 INFO  -  Click Retry Cout: 0
[main] 2023-04-24 14:27:26 INFO  - Inside the TRY of else block By.xpath: //button[@value='Log in'] | //button[normalize-space()='Log in']
[main] 2023-04-24 14:27:26 INFO  - Inside clickUsingJavaScript step:last
[main] 2023-04-24 14:27:26 INFO  - Successfully clicked on Log in Button
[main] 2023-04-24 14:27:26 INFO  - Re-Triggering failed test cases is disabled
[main] 2023-04-24 14:27:26 INFO  - Closing Browser
[main] 2023-04-24 14:27:28 INFO  - End of execution
[main] 2023-04-24 14:27:29 INFO  - This is the end of test case execution
