[main] 2023-04-19 12:50:52 INFO  - #[ Filename: RGI-Feature testcase2 ( sheet :Sheet1 ) on line no: 2 ]
[main] 2023-04-19 12:50:58 INFO  - User have entered URL successfully : https://www.hackerearth.com
[main] 2023-04-19 12:50:58 INFO  - #[ Filename: RGI-Feature testcase2 ( sheet :Sheet1 ) on line no: 3 ]
[main] 2023-04-19 12:50:58 INFO  -  Click Retry Cout: 0
[main] 2023-04-19 12:50:58 INFO  - Inside the TRY of else block By.xpath: //a[@value='Login'] | //a[normalize-space()='Login']
[main] 2023-04-19 12:50:59 INFO  - Inside clickUsingJavaScript step:last
[main] 2023-04-19 12:50:59 INFO  - Successfully clicked on Login Button
[main] 2023-04-19 12:50:59 INFO  - #[ Filename: RGI-Feature testcase2 ( sheet :Sheet1 ) on line no: 4 ]
[main] 2023-04-19 12:51:00 INFO  - Successfully entered text
[main] 2023-04-19 12:51:01 INFO  - Entered project.daisy.input@gmail.com in Username or Email field
[main] 2023-04-19 12:51:01 INFO  - #[ Filename: RGI-Feature testcase2 ( sheet :Sheet1 ) on line no: 5 ]
[main] 2023-04-19 12:51:02 INFO  - Successfully entered text
[main] 2023-04-19 12:51:02 INFO  - Entered Password Successfully
[main] 2023-04-19 12:51:02 INFO  - #[ Filename: RGI-Feature testcase2 ( sheet :Sheet1 ) on line no: 6 ]
[main] 2023-04-19 12:51:02 INFO  -  Click Retry Cout: 0
[main] 2023-04-19 12:51:02 INFO  - Inside the TRY of else block By.xpath: //button[@value='Log in'] | //button[normalize-space()='Log in']
[main] 2023-04-19 12:51:03 INFO  - Inside clickUsingJavaScript step:last
[main] 2023-04-19 12:51:03 INFO  - Successfully clicked on Log in Button
[main] 2023-04-19 12:51:03 INFO  - Re-Triggering failed test cases is disabled
[main] 2023-04-19 12:51:03 INFO  - Closing Browser
[main] 2023-04-19 12:51:04 INFO  - End of execution
[main] 2023-04-19 12:51:04 INFO  - This is the end of test case execution
